autor,date,editoria,id_dn,link,link_rel,link_rel_interno,sub_titulo,tags,time,titulo
Alexandre Mota,19 de Novembro de 2019,Jogada,2176478,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/nautico-sonda-atacante-kieza-mas-esbarra-em-valores-1.2176478,1,1,Jogador pertence ao Botafogo e está emprestado ao Fortaleza,"Esportes,brasileirão série a,fortaleza esporte clube",10:27,"Náutico sonda atacante Kieza, mas esbarra em valores"
Denise Marçal,19 de Novembro de 2019,Cuidar e Crescer,2176479,https://diariodonordeste.verdesmares.com.br/projetos/cuidar-e-crescer/online/experiencia-unica-1.2176479,0,0,"Toda gravidez é única, assim como cada mulher. Logo, todo parto é uma experiência singular. Respeitar as escolhas da mulher e a fisiologia do parto é humanizar o nascimento. Entenda o que está por trás do conceito de parto humanizado.","parto humanizado,cuidar e crescer,humanização",10:40,Experiência única
Folhapress,19 de Novembro de 2019,Verso,2176502,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/meghan-markle-e-eleita-icone-fashion-mais-poderoso-de-2019-1.2176502,0,0,A duquesa foi homenageada no relatório Lyst's Year in Fashion por especialistas em consumo,"meghan markle,duquesa,icone fashion",12:05,Meghan Markle é eleita ícone fashion mais poderoso de 2019
Redação,19 de Novembro de 2019,Negócios,2176488,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/ceara-registra-quinta-reducao-seguida-no-preco-da-gasolina-1.2176488,1,1,"Segundo dados da ANP, o valor cobrado pelo litro do combustível no Estado passou de R$ 4,46 para R$ 4,435","Economia,gasolina",11:00,Ceará registra quinta redução seguida no preço da gasolina
Redação,19 de Novembro de 2019,Jogada,2176523,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/messi-e-cr7-tem-de-manter-ritmo-aos-40-para-alcancar-pele-1.2176523,1,1,Há 50 anos o Rei do Futebol marcava seu milésimo gol,"Esportes,copa do mundo de futebol,seleção brasileira",12:21,Messi e CR7 têm de manter ritmo aos 40 para alcançar Pelé
Redação,19 de Novembro de 2019,Região,2176436,https://diariodonordeste.verdesmares.com.br/editorias/regiao/online/carreta-derrapa-e-caminhao-tomba-apos-chuva-na-br-222-em-itapaje-1.2176436,0,0,"No momento do acidente chovia e a pista estava molhada, o que pode ter contribuído para os acidentes, de acordo com a PRF",acidente de carro,07:18,"Carreta derrapa e caminhão tomba após chuva na BR-222, em Itapajé"
Redação,19 de Novembro de 2019,Jogada,2176476,https://diariodonordeste.verdesmares.com.br/editorias/jogada/online/gigante-do-ajax-atleta-de-14-anos-com-1-90m-de-altura-viraliza-na-web-1.2176476,0,0,O zagueiro David Easmon atua como zagueiro no sub-15 do time holandês,Esportes,10:16,"""Gigante do Ajax"", atleta de 14 anos com 1,90m de altura viraliza na web"
Redação,19 de Novembro de 2019,Segurança,2176461,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/assaltantes-enchem-mochila-com-celulares-em-roubo-a-loja-de-eletrodomesticos-em-maracanau-video-1.2176461,0,0,Dupla foi perseguida e presa pela polícia. Produtos foram recuperados,"assalto,violência ,maracanaú",10:24,Assaltantes enchem mochila com celulares em roubo a loja de eletrodomésticos em Maracanaú; vídeo
Redação,19 de Novembro de 2019,Segurança,2176447,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/suspeito-de-matar-juiz-no-coco-e-preso-com-drogas-no-papicu-e-a-5-vez-que-e-capturado-pelo-menos-1.2176447,2,2,"Segundo a polícia, Edson estava na companhia de um adolescente quando os dois foram abordados pela polícia, que encontrou drogas com eles",drogas,09:06,"Suspeito de matar juiz no Cocó é preso com drogas no Papicu; é a 5ª vez que é capturado, pelo menos"
Redação,19 de Novembro de 2019,Região,2176491,https://diariodonordeste.verdesmares.com.br/editorias/regiao/online/chove-42-milimetros-em-tiangua-veja-video-1.2176491,0,0,Previsão da Funceme é de tempo nublado em todo o Ceará,"chuva,enchente,temperatura,ventos,tianguá,Fundação Cearense de Meteorologia e Recursos Hídricos (Funceme)",11:28,Chove 42 milímetros em Tianguá; veja vídeo
Denise Marçal,19 de Novembro de 2019,Cuidar e Crescer,2176449,https://diariodonordeste.verdesmares.com.br/projetos/cuidar-e-crescer/online/sexo-na-gravidez-1.2176449,1,1,"Mudanças hormonais e emocionais afetam a rotina de relações sexuais no período gestacional. Para algumas gestantes, é tempo de pausa. Para outras, o sexo fica até melhor. Especialistas indicam: quando a gestação é saudável, o sexo é mais do que recomendável. Mas o que fazer quando o psicológico bloqueia?","sexo na gravidez,gestação,sexualidade,cuidar e crescer",08:41,Sexo na gravidez
Redação,19 de Novembro de 2019,Opinião,2176330,https://diariodonordeste.verdesmares.com.br/editorias/opiniao/tom-barros-1.220/um-quinteto-contra-o-descenso-1.2176330,1,1,,"Esportes,brasileirão série a,ceará sporting club,fortaleza esporte clube",08:32,Um quinteto contra o descenso
Redação,19 de Novembro de 2019,Segurança,2176463,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/carga-de-leite-em-po-avaliada-em-r-380-mil-e-apreendida-em-caninde-1.2176463,0,0,"A mercadoria havia sido roubada em setembro de 2019. Com o motorista, os agentes da PRF também encontraram anfetaminas, conhecidas popularmente como ""arrebites""","carga,PRF,Canindé",10:48,Carga de leite em pó avaliada em R$ 380 mil é apreendida em Canindé
Folhapress,19 de Novembro de 2019,Verso,2176442,https://diariodonordeste.verdesmares.com.br/editorias/verso/online/lula-molusco-de-bob-esponja-deve-ganhar-serie-solo-na-netflix-1.2176442,0,0,A plataforma de streaming e a Nickelodeon fecharam um acordo de produção e distribuição de séries e filmes,"lula molusco,bob esponja,netflix",08:04,"Lula Molusco, de 'Bob Esponja', deve ganhar série solo na Netflix"
Folhapress,19 de Novembro de 2019,Política,2176457,https://diariodonordeste.verdesmares.com.br/editorias/politica/online/ex-presidente-do-paraguai-e-alvo-de-nova-fase-da-operacao-lava-jato-1.2176457,0,0,Horacio Cartes é suspeito de ter ocultado seu patrimônio por meio do doleiro Dario Messer,"Lava-Jato,Paraguai",09:13,Ex-presidente do Paraguai é alvo de nova fase da operação Lava Jato
Redação,18 de Novembro de 2019,Metro,2176236,https://diariodonordeste.verdesmares.com.br/editorias/metro/variantes-de-joao-e-maria-sao-os-nomes-mais-registrados-na-capital-1.2176236,0,0,"De acordo com um levantamento da Associação Nacional dos Registradores de Pessoas Naturais (Arpen), foram registrados 3.554 variações compostas para o nome Maria e 1.443 para João. Enzo e Valentina ocupam a 7º posição","nomes,capital,Arpen",23:15,Variantes de João e Maria são os nomes mais registrados na Capital
Denise Marçal,19 de Novembro de 2019,Cuidar e Crescer,2176453,https://diariodonordeste.verdesmares.com.br/projetos/cuidar-e-crescer/online/hormonio-do-amor-1.2176453,1,0,"O que o abraço, o orgasmo e a amamentação têm em comum? A ocitocina. Conhecida como o hormônio do amor, ela também é responsável por estimular contrações uterinas que auxiliam no trabalho de parto. Entenda como age o hormônio nas gestantes.","gestação,ocitocina,amamentação",09:10,Hormônio do amor
Redação,19 de Novembro de 2019,Opinião,2176435,https://diariodonordeste.verdesmares.com.br/editorias/opiniao/egidio-serpa-1.209/aneel-pode-inviabilizar-geracao-de-energia-solar-no-brasil-1.2176435,0,0,"Atualmente, dos mais de 84,4 milhões de consumidores cativos brasileiros atendidos pelas distribuidoras de energia elétrica, apenas de 170 mil (menos de 0,2%) possuem essa tecnologia.","Economia,Eneel,Absolar,Energia Solar",07:08,Aneel pode inviabilizar geração de energia solar no Brasil
Estadão Conteúdo,19 de Novembro de 2019,Negócios,2176443,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/estados-discutem-mudancas-em-regras-para-cobranca-do-icms-1.2176443,0,0,"Segundo secretários, a ideia é preparar o terreno para a reforma tributária, que prevê a unificação de tributos sobre o consumo nas três esferas da Federação, entre eles, o ICMS",Economia,08:03,Estados discutem mudanças em regras para cobrança do ICMS
Estadão Conteúdo,19 de Novembro de 2019,Negócios,2176439,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/cargueiro-militar-da-embraer-em-versao-millennium-1.2176439,0,0,"O desenvolvimento da aeronave foi iniciado em 2009, sob contrato da Força Aérea Brasileira (FAB) para fornecimento de 28 KC-390, por US$ 7,2 bilhões",Economia,07:57,Cargueiro militar da Embraer em versão millennium
Redação,18 de Novembro de 2019,Metro,2176301,https://diariodonordeste.verdesmares.com.br/editorias/metro/congresso-de-radiodifusao-promove-debates-sobre-tecnologia-1.2176301,0,0,"Com participantes dos 16 Estados das regiões Norte e Nordeste, o evento prevê palestras em torno do tema ""A radiodifusão na era da disrupção"", tratando dos efeitos das novas tecnologias sobre os meios de comunicação","radiodifusão,Congresso",23:15,Congresso de radiodifusão promove debates sobre tecnologia
Redação,19 de Novembro de 2019,Imóveis,2176195,https://diariodonordeste.verdesmares.com.br/projetos/imoveis/online/moveis-planejados-1.2176195,0,0,Confira dicas para planejar a mobília da casa e não passar sufoco.,"decoração,móveis,planejamento,dicas",04:29,Móveis planejados
Carol Curvello,18 de Novembro de 2019,Política,2176306,https://diariodonordeste.verdesmares.com.br/editorias/politica/pec-da-2-instancia-divide-bancada-do-ceara-na-camara-1.2176306,0,0,"Dos 22 deputados federais do Ceará, oito se posicionam a favor da prisão de réu condenado após 2ª instância, outros quatro são contra, seis estão indecisos, e quatro não responderam","prisão em segunda instância,CCJ,Senado",23:30,PEC da 2ª instância divide bancada do Ceará na Câmara
